,datetime,symbol,open,high,low,close,volume,interval,datetime_sec
2682,2023-10-19 18:45:00,OANDA:EURUSD,1.0578,1.05783,1.0576,1.05774,200.0,Interval.in_3_minute,56745900.0
2683,2023-10-19 18:48:00,OANDA:EURUSD,1.05774,1.0578,1.05739,1.0574,271.0,Interval.in_3_minute,56746080.0
2684,2023-10-19 18:51:00,OANDA:EURUSD,1.0574,1.0574,1.05726,1.05729,187.0,Interval.in_3_minute,56746260.0
2685,2023-10-19 18:54:00,OANDA:EURUSD,1.05729,1.05729,1.05677,1.05712,199.0,Interval.in_3_minute,56746440.0
2686,2023-10-19 18:57:00,OANDA:EURUSD,1.05712,1.05722,1.05691,1.05698,299.0,Interval.in_3_minute,56746620.0
2687,2023-10-19 19:00:00,OANDA:EURUSD,1.05698,1.0608,1.05568,1.06068,1773.0,Interval.in_3_minute,56746800.0
2688,2023-10-19 19:03:00,OANDA:EURUSD,1.06068,1.06168,1.05952,1.05962,1431.0,Interval.in_3_minute,56746980.0
2689,2023-10-19 19:06:00,OANDA:EURUSD,1.05962,1.06054,1.05946,1.05978,982.0,Interval.in_3_minute,56747160.0
2690,2023-10-19 19:09:00,OANDA:EURUSD,1.05978,1.06004,1.059,1.05928,1004.0,Interval.in_3_minute,56747340.0
2691,2023-10-19 19:12:00,OANDA:EURUSD,1.05928,1.06,1.05916,1.05965,855.0,Interval.in_3_minute,56747520.0
2692,2023-10-19 19:15:00,OANDA:EURUSD,1.05965,1.05999,1.05936,1.05979,626.0,Interval.in_3_minute,56747700.0
2693,2023-10-19 19:18:00,OANDA:EURUSD,1.05979,1.06065,1.05979,1.06048,687.0,Interval.in_3_minute,56747880.0
2694,2023-10-19 19:21:00,OANDA:EURUSD,1.06048,1.06096,1.06012,1.0603,724.0,Interval.in_3_minute,56748060.0
2695,2023-10-19 19:24:00,OANDA:EURUSD,1.0603,1.0604,1.05892,1.05904,846.0,Interval.in_3_minute,56748240.0
2696,2023-10-19 19:27:00,OANDA:EURUSD,1.05904,1.05932,1.05844,1.05888,864.0,Interval.in_3_minute,56748420.0
2697,2023-10-19 19:30:00,OANDA:EURUSD,1.05888,1.05905,1.05825,1.05858,789.0,Interval.in_3_minute,56748600.0
2698,2023-10-19 19:33:00,OANDA:EURUSD,1.05858,1.05882,1.05624,1.0566,1142.0,Interval.in_3_minute,56748780.0
2699,2023-10-19 19:36:00,OANDA:EURUSD,1.0566,1.05673,1.05564,1.05622,1328.0,Interval.in_3_minute,56748960.0
2700,2023-10-19 19:39:00,OANDA:EURUSD,1.05622,1.0573,1.05614,1.0569,1156.0,Interval.in_3_minute,56749140.0
2701,2023-10-19 19:42:00,OANDA:EURUSD,1.0569,1.05766,1.0564,1.0566,1071.0,Interval.in_3_minute,56749320.0
2702,2023-10-19 19:45:00,OANDA:EURUSD,1.0566,1.0577,1.0566,1.05766,936.0,Interval.in_3_minute,56749500.0
2703,2023-10-19 19:48:00,OANDA:EURUSD,1.05766,1.05812,1.05746,1.05788,793.0,Interval.in_3_minute,56749680.0
2704,2023-10-19 19:51:00,OANDA:EURUSD,1.05788,1.05872,1.0574,1.05865,828.0,Interval.in_3_minute,56749860.0
2705,2023-10-19 19:54:00,OANDA:EURUSD,1.05865,1.05958,1.05864,1.05958,672.0,Interval.in_3_minute,56750040.0
2706,2023-10-19 19:57:00,OANDA:EURUSD,1.05958,1.05994,1.05942,1.05966,628.0,Interval.in_3_minute,56750220.0
